CHANNEL2,AGE,GENDER,PROVINCE,RACE,total_viewers,avg_duration_minutes,total_views_PerChannel,avg_duration,Viewers_Per_Race
ICC Cricket World Cup 2011,28,male,Limpopo,indian_asian,5,1.7575492513333333E9,9,1.7575492513333333E9,9
Supersport Live Events,24,male,Mpumalanga,black,5,1.757548962E9,6,1.757548962E9,6
ICC Cricket World Cup 2011,29,male,Western Cape,coloured,5,1.757549026E9,7,1.757549026E9,7
Trace TV,30,male,Western Cape,coloured,5,1.757549079E9,8,1.757549079E9,8
Cartoon Network,28,male,Kwazulu Natal,indian_asian,5,1.7575490596666667E9,6,1.7575490596666667E9,6
Boomerang,27,male,Gauteng,black,5,1.7575494251818182E9,11,1.7575494251818182E9,11
Cartoon Network,20,male,Gauteng,black,5,1.7575492481666667E9,6,1.7575492481666667E9,6
Supersport Live Events,36,male,Gauteng,black,5,1.7575491976666667E9,6,1.7575491976666667E9,6
Channel O,36,male,Western Cape,coloured,5,1.7575489488E9,5,1.7575489488E9,5
Supersport Live Events,32,male,Gauteng,white,5,1.75755098625E9,8,1.75755098625E9,8
Channel O,26,male,Western Cape,coloured,5,1.7575488675E9,8,1.7575488675E9,8
Trace TV,39,male,Western Cape,coloured,5,1.7575493346666667E9,9,1.7575493346666667E9,9
Trace TV,29,male,Kwazulu Natal,black,5,1.757549011125E9,8,1.757549011125E9,8
CNN,45,male,Gauteng,black,5,1.7575494597333333E9,15,1.7575494597333333E9,15
ICC Cricket World Cup 2011,27,male,Gauteng,black,5,1.7575513525714285E9,7,1.7575513525714285E9,7
SuperSport Blitz,35,male,Western Cape,coloured,5,1.757551014E9,5,1.757551014E9,5
Supersport Live Events,29,male,Gauteng,indian_asian,5,1.757550243E9,6,1.757550243E9,6
Supersport Live Events,28,male,Kwazulu Natal,black,5,1.757549616E9,8,1.757549616E9,8
Supersport Live Events,31,male,Limpopo,indian_asian,5,1.757549339E9,6,1.757549339E9,6
SawSee,35,male,Gauteng,black,5,1.7575490525E9,6,1.7575490525E9,6
Supersport Live Events,42,male,Gauteng,black,5,1.75754933E9,6,1.75754933E9,6
ICC Cricket World Cup 2011,37,male,Western Cape,coloured,5,1.7575491013333333E9,6,1.7575491013333333E9,6
Cartoon Network,33,male,Gauteng,black,5,1.7575489238888888E9,9,1.7575489238888888E9,9
Supersport Live Events,39,male,Western Cape,coloured,5,1.7575494416666667E9,6,1.7575494416666667E9,6
ICC Cricket World Cup 2011,36,male,Mpumalanga,indian_asian,5,1.7575504092E9,5,1.7575504092E9,5
SuperSport Blitz,34,male,Western Cape,coloured,5,1.7575489396E9,5,1.7575489396E9,5
SuperSport Blitz,23,male,Gauteng,black,5,1.7575489144E9,5,1.7575489144E9,5
Africa Magic,35,male,Gauteng,black,5,1.7575489492857144E9,7,1.7575489492857144E9,7
Supersport Live Events,25,male,Western Cape,coloured,5,1.7575491697142856E9,7,1.7575491697142856E9,7
Channel O,30,male,Western Cape,coloured,5,1.7575490754E9,5,1.7575490754E9,5
Cartoon Network,28,male,Gauteng,black,5,1.7575491283333333E9,6,1.7575491283333333E9,6
ICC Cricket World Cup 2011,30,male,Western Cape,coloured,5,1.757550656E9,8,1.757550656E9,8
Channel O,25,male,Eastern Cape,black,5,1.7575496604E9,5,1.7575496604E9,5
Trace TV,21,male,Gauteng,black,5,1.7575502143333333E9,9,1.7575502143333333E9,9
SuperSport Blitz,37,male,Gauteng,black,5,1.7575489676E9,5,1.7575489676E9,5
Supersport Live Events,39,male,Gauteng,indian_asian,5,1.7575489346666667E9,6,1.7575489346666667E9,6
Boomerang,32,male,Western Cape,coloured,5,1.7575489485714285E9,7,1.7575489485714285E9,7
Africa Magic,35,female,Gauteng,black,5,1.7575490551666667E9,6,1.7575490551666667E9,6
Boomerang,26,male,Western Cape,coloured,5,1.7575490677142856E9,7,1.7575490677142856E9,7
Africa Magic,27,male,Gauteng,black,5,1.757548876E9,6,1.757548876E9,6
Channel O,39,male,Gauteng,black,5,1.7575491852857144E9,7,1.7575491852857144E9,7
Supersport Live Events,24,male,Gauteng,white,5,1.757549630142857E9,14,1.757549630142857E9,14
SuperSport Blitz,29,male,Gauteng,black,5,1.7575490958333333E9,6,1.7575490958333333E9,6
ICC Cricket World Cup 2011,40,male,Western Cape,coloured,5,1.7575500244E9,5,1.7575500244E9,5
ICC Cricket World Cup 2011,40,male,Gauteng,black,5,1.7575499606666667E9,6,1.7575499606666667E9,6
Trace TV,23,male,Mpumalanga,black,5,1.757549545E9,6,1.757549545E9,6
Supersport Live Events,35,male,Limpopo,indian_asian,5,1.757549854857143E9,7,1.757549854857143E9,7
Africa Magic,30,male,Kwazulu Natal,black,5,1.7575489608E9,5,1.7575489608E9,5
Supersport Live Events,37,male,Western Cape,coloured,5,1.757549465142857E9,7,1.757549465142857E9,7
SuperSport Blitz,27,male,Western Cape,coloured,5,1.7575491966666667E9,6,1.7575491966666667E9,6
Supersport Live Events,34,male,Limpopo,indian_asian,5,1.7575488944444444E9,9,1.7575488944444444E9,9
Trace TV,25,male,Limpopo,black,5,1.7575490676666667E9,9,1.7575490676666667E9,9
Boomerang,31,male,Gauteng,black,5,1.757548868E9,5,1.757548868E9,5
ICC Cricket World Cup 2011,33,male,Limpopo,indian_asian,5,1.7575493876E9,5,1.7575493876E9,5
Trace TV,23,male,Gauteng,black,5,1.75754933775E9,8,1.75754933775E9,8
ICC Cricket World Cup 2011,41,male,Gauteng,white,5,1.7575493188E9,5,1.7575493188E9,5
Supersport Live Events,27,male,Western Cape,coloured,5,1.7575495701538463E9,13,1.7575495701538463E9,13
Trace TV,35,male,Gauteng,black,5,1.7575506335E9,6,1.7575506335E9,6
ICC Cricket World Cup 2011,28,male,Western Cape,coloured,5,1.7575488472E9,5,1.7575488472E9,5
Supersport Live Events,25,male,Gauteng,white,5,1.757549009E9,6,1.757549009E9,6
Channel O,23,male,Gauteng,black,5,1.757548994E9,6,1.757548994E9,6
Channel O,34,male,Mpumalanga,black,4,1.757548965E9,4,1.757548965E9,4
Cartoon Network,21,male,Mpumalanga,black,4,1.7575488161666667E9,6,1.7575488161666667E9,6
Cartoon Network,39,male,Western Cape,coloured,4,1.7575494872E9,5,1.7575494872E9,5
Cartoon Network,21,male,Gauteng,black,4,1.7575492225E9,4,1.7575492225E9,4
Channel O,25,male,Limpopo,black,4,1.7575494105E9,6,1.7575494105E9,6
Africa Magic,26,male,Gauteng,black,4,1.757548814E9,4,1.757548814E9,4
Supersport Live Events,22,male,Gauteng,black,4,1.7575488876666667E9,6,1.7575488876666667E9,6
Trace TV,36,male,Gauteng,black,4,1.75754991225E9,4,1.75754991225E9,4
CNN,34,male,Western Cape,black,4,1.7575498618E9,5,1.7575498618E9,5
SuperSport Blitz,45,male,Gauteng,black,4,1.7575490524E9,5,1.7575490524E9,5
Supersport Live Events,29,male,Western Cape,coloured,4,1.7575496696666667E9,6,1.7575496696666667E9,6
SawSee,29,male,Gauteng,black,4,1.75754886875E9,4,1.75754886875E9,4
Supersport Live Events,27,male,Mpumalanga,black,4,1.757548962E9,7,1.757548962E9,7
Boomerang,27,male,Gauteng,indian_asian,4,1.7575491346666667E9,6,1.7575491346666667E9,6
Africa Magic,31,male,Mpumalanga,black,4,1.757548932E9,4,1.757548932E9,4
Boomerang,28,male,Gauteng,white,4,1.757549612E9,5,1.757549612E9,5
Supersport Live Events,46,male,Gauteng,black,4,1.7575489233333333E9,6,1.7575489233333333E9,6
Channel O,35,male,Kwazulu Natal,black,4,1.757550927E9,4,1.757550927E9,4
ICC Cricket World Cup 2011,35,male,Gauteng,white,4,1.7575489295E9,4,1.7575489295E9,4
Supersport Live Events,38,male,Western Cape,coloured,4,1.7575490683333333E9,6,1.7575490683333333E9,6
Trace TV,34,male,Western Cape,coloured,4,1.75754958E9,4,1.75754958E9,4
Supersport Live Events,35,male,Western Cape,white,4,1.757548978E9,6,1.757548978E9,6
Cartoon Network,38,male,Western Cape,coloured,4,1.7575492674E9,5,1.7575492674E9,5
Supersport Live Events,33,male,Gauteng,white,4,1.757549251E9,8,1.757549251E9,8
Trace TV,19,male,Gauteng,black,4,1.757549801E9,6,1.757549801E9,6
ICC Cricket World Cup 2011,40,male,Gauteng,white,4,1.7575491725E9,4,1.7575491725E9,4
SawSee,30,male,Gauteng,black,4,1.7575491485E9,4,1.7575491485E9,4
SuperSport Blitz,28,male,Western Cape,coloured,4,1.757549008E9,4,1.757549008E9,4
CNN,33,male,Gauteng,black,4,1.7575496848E9,5,1.7575496848E9,5
Trace TV,25,male,Gauteng,indian_asian,4,1.75754914275E9,4,1.75754914275E9,4
ICC Cricket World Cup 2011,32,male,Limpopo,indian_asian,4,1.75755050025E9,8,1.75755050025E9,8
E! Entertainment,34,male,Gauteng,white,4,1.757548982E9,4,1.757548982E9,4
Supersport Live Events,26,male,Gauteng,indian_asian,4,1.757549267E9,6,1.757549267E9,6
ICC Cricket World Cup 2011,37,male,Limpopo,indian_asian,4,1.757550958E9,5,1.757550958E9,5
Cartoon Network,24,male,Mpumalanga,black,4,1.7575489796E9,5,1.7575489796E9,5
Africa Magic,39,male,Kwazulu Natal,black,4,1.757548891E9,4,1.757548891E9,4
Supersport Live Events,24,male,Western Cape,coloured,4,1.7575492465E9,4,1.7575492465E9,4
Channel O,18,male,Gauteng,black,4,1.7575488702E9,5,1.7575488702E9,5
Trace TV,24,male,Gauteng,white,4,1.7575491555E9,6,1.7575491555E9,6
CNN,40,male,Gauteng,black,4,1.757548993E9,5,1.757548993E9,5
ICC Cricket World Cup 2011,34,male,Gauteng,white,4,1.7575488555E9,4,1.7575488555E9,4
Trace TV,22,male,Mpumalanga,black,4,1.7575500805714285E9,7,1.7575500805714285E9,7
ICC Cricket World Cup 2011,29,male,Kwazulu Natal,indian_asian,4,1.757549952857143E9,7,1.757549952857143E9,7
SawSee,33,male,Gauteng,black,4,1.7575488335E9,4,1.7575488335E9,4
Trace TV,29,female,Gauteng,black,4,1.757549016E9,4,1.757549016E9,4
Cartoon Network,23,male,Gauteng,black,4,1.75754903825E9,4,1.75754903825E9,4
Cartoon Network,38,male,Gauteng,white,4,1.75754883225E9,4,1.75754883225E9,4
Channel O,23,male,Mpumalanga,black,4,1.75754895375E9,4,1.75754895375E9,4
Supersport Live Events,46,male,Western Cape,coloured,4,1.7575494036666667E9,6,1.7575494036666667E9,6
SuperSport Blitz,45,male,Western Cape,coloured,4,1.75754911E9,6,1.75754911E9,6
Cartoon Network,34,male,Gauteng,black,4,1.7575488646666667E9,6,1.7575488646666667E9,6
Supersport Live Events,44,male,Western Cape,coloured,4,1.757549097E9,8,1.757549097E9,8
CNN,41,male,Gauteng,black,4,1.7575493564E9,5,1.7575493564E9,5
Supersport Live Events,31,male,Western Cape,white,4,1.757550802E9,5,1.757550802E9,5
CNN,24,male,Gauteng,black,4,1.7575490436E9,5,1.7575490436E9,5
SuperSport Blitz,32,male,Kwazulu Natal,black,4,1.7575491184E9,5,1.7575491184E9,5
Supersport Live Events,38,male,Gauteng,black,4,1.7575488697142856E9,7,1.7575488697142856E9,7
E! Entertainment,36,male,Gauteng,black,4,1.7575494195E9,4,1.7575494195E9,4
Channel O,28,male,Western Cape,black,4,1.757548938E9,4,1.757548938E9,4
Channel O,25,male,North West,black,4,1.7575499934E9,10,1.7575499934E9,10
Channel O,30,male,North West,black,4,1.7575492005E9,4,1.7575492005E9,4
CNN,27,male,Gauteng,black,4,1.7575488938E9,5,1.7575488938E9,5
Boomerang,30,male,Gauteng,black,4,1.75754896725E9,4,1.75754896725E9,4
Supersport Live Events,29,male,Mpumalanga,black,4,1.757550192E9,4,1.757550192E9,4
Boomerang,28,male,Western Cape,coloured,4,1.757552038E9,4,1.757552038E9,4
ICC Cricket World Cup 2011,32,male,Western Cape,coloured,4,1.757549182E9,4,1.757549182E9,4
SuperSport Blitz,39,male,Gauteng,indian_asian,4,1.757549162E9,5,1.757549162E9,5
SuperSport Blitz,47,male,Gauteng,black,4,1.757549222E9,4,1.757549222E9,4
ICC Cricket World Cup 2011,26,male,Gauteng,white,4,1.7575492796666667E9,6,1.7575492796666667E9,6
ICC Cricket World Cup 2011,28,male,Kwazulu Natal,indian_asian,4,1.7575492425E9,4,1.7575492425E9,4
Trace TV,34,male,Gauteng,black,4,1.757549217E9,4,1.757549217E9,4
ICC Cricket World Cup 2011,30,male,Gauteng,black,4,1.7575498725E9,4,1.7575498725E9,4
SuperSport Blitz,39,male,Gauteng,black,4,1.7575490052E9,5,1.7575490052E9,5
Supersport Live Events,32,male,Mpumalanga,black,4,1.757549095E9,6,1.757549095E9,6
ICC Cricket World Cup 2011,38,male,Western Cape,coloured,4,1.757549396E9,8,1.757549396E9,8
Trace TV,20,male,Gauteng,black,4,1.757549579E9,6,1.757549579E9,6
Supersport Live Events,35,male,Kwazulu Natal,indian_asian,4,1.7575497936666667E9,6,1.7575497936666667E9,6
Supersport Live Events,28,male,Gauteng,indian_asian,4,1.7575505586666667E9,6,1.7575505586666667E9,6
Supersport Live Events,35,male,Gauteng,black,4,1.75755018175E9,8,1.75755018175E9,8
Supersport Live Events,29,male,Gauteng,black,4,1.7575491453333333E9,6,1.7575491453333333E9,6
